,Sym,Name,Industry,M Cap,%5d
663,ESK,ETHERSTACK PLC,Software & Services,$29M,15.789473684210526
664,EBG,EUMUNDI GROUP LIMITED,Consumer Services,$85M,0.0
665,EGH,EUREKA GROUP HOLDINGS LIMITED,Real Estate Management & Development,$261M,0.0
666,EMN,EURO MANGANESE INC,Materials,$14M,-16.216216216216214
667,EUR,EUROPEAN LITHIUM LIMITED,Materials,$49M,11.428571428571418
668,EMH,EUROPEAN METALS HOLDINGS LIMITED,Materials,$36M,18.333333333333353
669,EZL,EUROZ HARTLEYS GROUP LIMITED,Financial Services,$143M,0.0
670,EVR,EV RESOURCES LTD,Materials,$4M,25.0
671,EVE,EVE HEALTH GROUP LIMITED.,Financial Services,$5M,0.0
672,EMC,EVEREST METALS CORPORATION LTD,Materials,$30M,0.0
673,EG1,EVERGREEN LITHIUM LIMITED,Materials,$12M,-6.250000000000005
674,EVG,EVION GROUP NL,Materials,$9M,0.0
675,EV1,EVOLUTION ENERGY MINERALS LIMITED,Materials,$8M,-2.173913043478248
676,EVN,EVOLUTION MINING LIMITED,Materials,$10B,1.2448132780082906
677,EVT,EVT LIMITED,Media & Entertainment,$2B,-1.5584415584415559
678,EVZ,EVZ LIMITED,Capital Goods,$19M,3.3333333333333366
679,ECL,EXCELSIOR CAPITAL LTD,Capital Goods,$92M,1.282051282051283
680,EXT,EXCITE TECHNOLOGY SERVICES LTD,Software & Services,$20M,0.0
681,EXP,EXPERIENCE CO LIMITED,Consumer Services,$91M,8.333333333333341
682,EZZ,EZZ LIFE SCIENCE HOLDINGS LIMITED,Consumer Discretionary Distribution & Retail,$150M,4.45205479452056
683,FAL,FALCON METALS LTD,Materials,$20M,-3.8461538461538494
684,FEG,FAR EAST GOLD LTD,Materials,$60M,-2.777777777777765
685,FAR,FAR LIMITED,Energy,$49M,1.9230769230769247
686,FNR,FAR NORTHERN RESOURCES LIMITED,Materials,$8M,0.0
687,FRM,FARM PRIDE FOODS LIMITED,"Food, Beverage & Tobacco",$30M,0.0
688,FPC,FAT PROPHETS GLOBAL CONTRARIAN FUND LTD,Not Applic,$26M,1.111111111111112
689,FPP,FAT PROPHETS GLOBAL PROPERTY FUND,Not Applic,$18M,8.609271523178815
690,FFG,FATFISH GROUP LIMITED,Financial Services,$15M,0.0
691,FBR,FBR LTD,Capital Goods,$187M,15.151515151515143
692,FXG,FELIX GOLD LIMITED,Materials,$26M,-8.045977011494244
693,FLX,FELIX GROUP HOLDINGS LTD,Software & Services,$42M,1.1627906976744196
694,FEX,FENIX RESOURCES LTD,Materials,$189M,0.0
695,FTZ,FERTOZ LIMITED,Materials,$8M,7.6923076923077
696,FFI,FFI HOLDINGS LIMITED,"Food, Beverage & Tobacco",$40M,-1.3333333333333286
697,FID,FIDUCIAN GROUP LIMITED,Financial Services,$280M,-0.22421524663676654
698,FSG,FIELD SOLUTIONS HOLDINGS LIMITED,Telecommunication Services,NaN,0.0
699,FIN,FIN RESOURCES LIMITED,Materials,$3M,0.0
700,FRI,FINBAR GROUP LIMITED,Real Estate Management & Development,$219M,1.2578616352201268
701,FDR,FINDER ENERGY HOLDINGS LIMITED,Energy,$11M,-9.302325581395342
702,FND,FINDI LIMITED,Software & Services,$237M,-2.3904382470119367
703,FCL,FINEOS CORPORATION HOLDINGS PLC,Software & Services,$631M,-0.2695417789757355
704,FNX,FINEXIA FINANCIAL GROUP LIMITED,Financial Services,$17M,0.0
705,FTC,FINTECH CHAIN LIMITED,Financial Services,$5M,0.0
706,FRB,FIREBIRD METALS LIMITED,Materials,$16M,22.22222222222223
707,FRE,FIREBRICK PHARMA LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$13M,18.518518518518523
708,FFM,FIREFLY METALS LTD,Materials,$510M,1.0989010989010999
709,FTL,FIRETAIL RESOURCES LIMITED,Materials,$27M,0.0
710,FAU,FIRST AU LIMITED,Materials,$3M,0.0
711,FGR,FIRST GRAPHENE LIMITED,Materials,$18M,0.0
712,FL1,FIRST LITHIUM LIMITED,Materials,$10M,-2.173913043478263
713,FCT,FIRSTWAVE CLOUD TECHNOLOGY LIMITED,Software & Services,$39M,9.999999999999993
714,FPH,FISHER & PAYKEL HEALTHCARE CORPORATION LIMITED,Health Care Equipment & Services,$20B,2.4793388429751957
715,FZR,FITZROY RIVER CORPORATION LTD,Energy,$13M,0.0
716,FSI,FLAGSHIP INVESTMENTS LIMITED,Not Applic,$54M,2.9411764705882377
717,FPR,FLEETPARTNERS GROUP LIMITED,Financial Services,$662M,-6.506849315068491
718,FWD,FLEETWOOD LIMITED,Consumer Durables & Apparel,$183M,-0.7731958762886548
719,FBU,FLETCHER BUILDING LIMITED,Capital Goods,$3B,2.380952380952383
720,FRX,FLEXIROAM LIMITED,Telecommunication Services,$8M,0.0
721,FLT,FLIGHT CENTRE TRAVEL GROUP LIMITED,Consumer Services,$4B,2.2085889570552113
722,FLC,FLUENCE CORPORATION LIMITED,Utilities,$80M,0.0
723,FG1,FLYNN GOLD LIMITED,Materials,$7M,-3.7037037037036944
724,FMR,FMR RESOURCES LIMITED,Media & Entertainment,$4M,-5.714285714285704
725,FML,FOCUS MINERALS LTD,Materials,$47M,-8.333333333333327
726,FSF,FONTERRA SHAREHOLDERS' FUND,"Food, Beverage & Tobacco",$516M,-1.709401709401692
727,FFF,FORBIDDEN FOODS LIMITED,"Food, Beverage & Tobacco",$5M,0.0
728,FGH,FORESTA GROUP HOLDINGS LIMITED,Materials,$24M,1.927470528863119e-14
729,FRS,FORRESTANIA RESOURCES LIMITED,Materials,$3M,-7.142857142857137
730,FMG,FORTESCUE LTD,Materials,$57B,3.8095238095238075
731,FOS,FOS CAPITAL LTD,Capital Goods,$19M,12.499999999999995
732,FCG,FREEDOM CARE GROUP HOLDINGS LIMITED,Health Care Equipment & Services,NaN,0.0
733,FHS,FREEHILL MINING LIMITED.,Materials,$12M,0.0
734,FLN,FREELANCER LIMITED,Commercial & Professional Services,$72M,0.0
735,FRW,FREIGHTWAYS GROUP LIMITED,Transportation,$2B,0.0
736,FDV,FRONTIER DIGITAL VENTURES LIMITED,Media & Entertainment,$150M,-4.109589041095879
737,FHE,FRONTIER ENERGY LIMITED,Materials,$62M,15.0
738,FSA,FSA GROUP LIMITED,Financial Services,$99M,-0.6172839506172845
739,FUL,FULCRUM LITHIUM LTD,Materials,$21M,-5.8823529411764754
740,FBM,FUTURE BATTERY MINERALS LIMITED,Materials,$13M,1.927470528863119e-14
741,FGX,FUTURE GENERATION AUSTRALIA LIMITED,Not Applic,$507M,-1.1857707509881346
742,FGG,FUTURE GENERATION GLOBAL LIMITED,Not Applic,$555M,2.158273381294966
743,FME,FUTURE METALS NL,Energy,$9M,-6.666666666666662
744,G11,G11 RESOURCES LIMITED,Materials,$14M,0.0
745,G50,G50 CORP LIMITED,Materials,$23M,6.666666666666673
746,GEM,G8 EDUCATION LIMITED,Consumer Services,$1B,-1.4705882352941189
747,GLN,GALAN LITHIUM LIMITED,Materials,$93M,21.739130434782616
748,GAP,GALE PACIFIC LIMITED,Consumer Durables & Apparel,$36M,0.0
749,G1A,GALENA MINING LIMITED,Materials,NaN,0.0
750,GLL,GALILEE ENERGY LIMITED,Energy,$4M,16.666666666666668
751,GAL,GALILEO MINING LTD,Materials,$23M,0.0
752,GDF,GARDA PROPERTY GROUP,Equity Real Estate Investment Trusts (REITs),$261M,-0.41322314049585895
753,GGX,GAS2GRID LIMITED,Energy,NaN,0.0
754,GML,GATEWAY MINING LIMITED,Materials,$9M,-4.347826086956526
755,GTH,GATHID LTD,Software & Services,NaN,0.0
756,GBZ,GBM RESOURCES LIMITED,Materials,$8M,14.285714285714286
757,GDI,GDI PROPERTY GROUP,Equity Real Estate Investment Trusts (REITs),$317M,1.6949152542372898
758,GDG,GENERATION DEVELOPMENT GROUP LIMITED,Insurance,$1B,-2.513227513227507
759,GNE,GENESIS ENERGY LIMITED,Utilities,$2B,3.0075187969924837
760,GMD,GENESIS MINERALS LIMITED,Materials,$3B,-0.1968503937007832
761,GES,GENESIS RESOURCES LIMITED,Materials,$4M,-16.666666666666668
762,GSS,GENETIC SIGNATURES LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$143M,0.0
763,GTG,GENETIC TECHNOLOGIES LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",NaN,0.0
764,GEN,GENMIN LIMITED,Materials,$35M,-9.090909090909085
765,GTK,GENTRACK GROUP LIMITED,Software & Services,$1B,-0.17301038062283366
766,GNP,GENUSPLUS GROUP LTD,Capital Goods,$461M,6.827309236947788
767,GPR,GEOPACIFIC RESOURCES LTD,Materials,$24M,8.247422680412376
768,GIB,GIBB RIVER DIAMONDS LIMITED,Materials,$9M,5.000000000000004
769,GLA,GLADIATOR RESOURCES LIMITED,Materials,$8M,0.0
770,GC1,GLENNON SMALL COMPANIES LIMITED,Not Applic,$23M,0.0
771,GLE,GLG CORP LTD,Consumer Durables & Apparel,$16M,0.0
772,GDC,GLOBAL DATA CENTRE GROUP,Not Applic,NaN,0.0
773,GLH,GLOBAL HEALTH LIMITED,Health Care Equipment & Services,$8M,0.0
774,GL1,GLOBAL LITHIUM RESOURCES LIMITED,Materials,$47M,11.764705882352935
775,GFL,GLOBAL MASTERS FUND LIMITED,Not Applic,$39M,0.0
776,GUE,GLOBAL URANIUM AND ENRICHMENT LTD,Materials,$17M,13.725490196078445
777,GLB,GLOBE INTERNATIONAL LIMITED,Consumer Durables & Apparel,$139M,2.4464831804281366
778,GBE,GLOBE METALS & MINING LIMITED,Materials,$28M,2.4390243902439046
779,GRL,GODOLPHIN RESOURCES LIMITED,Materials,$5M,3.703703703703707
780,GHY,GOLD HYDROGEN LIMITED,Energy,$97M,0.0
781,GMN,GOLD MOUNTAIN LIMITED,Materials,$14M,0.0
782,GOR,GOLD ROAD RESOURCES LIMITED,Materials,$2B,0.4878048780487918
783,GCR,GOLDEN CROSS RESOURCES LTD,Materials,$2M,-33.333333333333336
784,GED,GOLDEN DEEPS LIMITED.,Materials,$4M,4.1666666666666705
785,GHM,GOLDEN HORSE MINERALS LIMITED,Materials,$48M,2.1276595744680873
786,G88,GOLDEN MILE RESOURCES LTD,Materials,$5M,25.0
787,GSM,GOLDEN STATE MINING LIMITED,Materials,$3M,0.0
788,GDA,GOOD DRINKS AUSTRALIA LTD,"Food, Beverage & Tobacco",NaN,0.0
789,GMG,GOODMAN GROUP,Equity Real Estate Investment Trusts (REITs),$70B,2.4166666666666594
790,GOW,GOWING BROS LIMITED,Financial Services,$116M,-1.3574660633484075
791,GPT,GPT GROUP,Equity Real Estate Investment Trusts (REITs),$9B,3.3482142857142736
792,GQG,GQG PARTNERS INC.,Financial Services,$6B,-7.111111111111118
793,GNG,GR ENGINEERING SERVICES LIMITED,Materials,$408M,4.184100418410045
794,GNC,GRAINCORP LIMITED,Consumer Staples Distribution & Retail,$2B,-0.40431266846360325
795,GGE,GRAND GULF ENERGY LIMITED,Energy,$5M,0.0
796,GRR,GRANGE RESOURCES LIMITED.,Materials,$255M,2.222222222222224
797,GTI,GRATIFII LIMITED,Software & Services,$27M,-2.222222222222224
798,GBR,GREAT BOULDER RESOURCES LIMITED,Materials,$32M,2.3255813953488396
799,GR8,GREAT DIRT RESOURCES LTD,Materials,$6M,15.384615384615378
800,GDM,GREAT DIVIDE MINING LTD,Materials,$9M,0.0
801,GNM,GREAT NORTHERN MINERALS LIMITED,Materials,$2M,7.142857142857137
802,GSN,GREAT SOUTHERN MINING LIMITED,Materials,$14M,3.5714285714285747
803,GTE,GREAT WESTERN EXPLORATION LIMITED.,Materials,$15M,3.84615384615385
804,GCM,GREEN CRITICAL MINERALS LIMITED,Materials,$17M,83.33333333333333
805,GT1,GREEN TECHNOLOGY METALS LIMITED,Materials,$24M,16.34615384615386
806,H2G,GREENHY2 LIMITED,Commercial & Professional Services,$2M,0.0
807,GRE,GREENTECH METALS LIMITED,Materials,$7M,-2.7777777777777612
808,GRV,GREENVALE ENERGY LTD,Energy,$15M,0.0
809,GW1,GREENWING RESOURCES LTD,Materials,$8M,-5.555555555555542
810,GRX,GREENX METALS LIMITED,Materials,$186M,-1.4814814814814827
811,G6M,GROUP 6 METALS LIMITED,Materials,NaN,0.0
812,GOZ,GROWTHPOINT PROPERTIES AUSTRALIA,Equity Real Estate Investment Trusts (REITs),$2B,3.225806451612906
813,GCI,GRYPHON CAPITAL INCOME TRUST,Not Applic,$868M,0.9708737864077678
814,GTR,GTI ENERGY LTD,Materials,$9M,-25.0
815,GTN,GTN LIMITED,Media & Entertainment,$114M,-0.8620689655172231
816,GUL,GULLEWA LIMITED,Materials,$12M,0.0
817,GYG,GUZMAN Y GOMEZ LIMITED,Consumer Services,$4B,2.7805118110236284
818,GWA,GWA GROUP LIMITED.,Capital Goods,$639M,0.8368200836820091
819,GWR,GWR GROUP LIMITED,Materials,$26M,-1.234567901234569
820,HCF,H&G HIGH CONVICTION LIMITED,Not Applic,$19M,-4.3750000000000036
821,HAL,HALO TECHNOLOGIES HOLDINGS LTD,Financial Services,$6M,-1.9607843137254786
822,HMG,HAMELIN GOLD LIMITED,Materials,$10M,1.5873015873015888
823,HMX,HAMMER METALS LIMITED,Materials,$28M,9.677419354838719
824,HNG,HANCOCK & GORE LTD,Capital Goods,$143M,0.0
825,HSN,HANSEN TECHNOLOGIES LIMITED,Software & Services,$1B,0.18796992481202607
826,HAR,HARANGA RESOURCES LIMITED.,Materials,$4M,-4.545454545454534
827,HMY,HARMONEY CORP LIMITED,Financial Services,$37M,-3.947368421052635
828,HT8,HARRIS TECHNOLOGY GROUP LIMITED,Transportation,$3M,-9.090909090909085
829,HHR,HARTSHEAD RESOURCES NL,Energy,$15M,0.0
830,HTG,HARVEST TECHNOLOGY GROUP LTD,Technology Hardware & Equipment,$22M,-12.00000000000001
831,HVN,HARVEY NORMAN HOLDINGS LIMITED,Consumer Discretionary Distribution & Retail,$6B,-0.8421052631578955
832,HAS,HASTINGS TECHNOLOGY METALS LTD,Materials,$57M,-1.5151515151515165
833,HAV,HAVILAH RESOURCES LIMITED,Materials,$75M,3.5714285714285747
834,HWK,HAWK RESOURCES LIMITED.,Materials,$5M,-5.000000000000004
835,HIO,HAWSONS IRON LTD,Materials,$17M,-2.7777777777777612
836,HAW,HAWTHORN RESOURCES LIMITED,Materials,$14M,0.0
837,HZR,HAZER GROUP LIMITED,Materials,$85M,1.3513513513513526
838,HLS,HEALIUS LIMITED,Health Care Equipment & Services,$1B,0.3571428571428654
839,HPP,HEALTH AND PLANT PROTEIN GROUP LIMITED,"Food, Beverage & Tobacco",NaN,0.0
840,HCW,HEALTHCO HEALTHCARE AND WELLNESS REIT,Equity Real Estate Investment Trusts (REITs),$578M,2.48756218905474
841,HGH,HEARTLAND GROUP HOLDINGS LIMITED,Banks,$830M,4.046242774566478
842,HM1,HEARTS AND MINDS INVESTMENTS LIMITED,Not Applic,$714M,-0.9523809523809462
843,HVY,HEAVY MINERALS LIMITED,Materials,$8M,-12.0
844,HRE,HEAVY RARE EARTHS LIMITED,Class Pend,$5M,-6.250000000000005
845,HLI,HELIA GROUP LIMITED,Financial Services,$1B,1.7977528089887655
846,HE8,HELIOS ENERGY LTD,Energy,$29M,20.0
847,HLX,HELIX RESOURCES LIMITED,Materials,$13M,14.285714285714286
848,HLXE,HELIX RESOURCES LIMITED,Materials,$13M,0.0
849,HLO,HELLOWORLD TRAVEL LIMITED,Consumer Services,$317M,2.604166666666669
850,HMD,HERAMED LIMITED,Health Care Equipment & Services,$18M,-4.761904761904765
851,HXL,HEXIMA LIMITED.,"Pharmaceuticals, Biotechnology & Life Sciences",NaN,0.0
852,HPR,HIGH PEAK ROYALTIES LIMITED,Energy,$18M,0.0
853,HTM,HIGH-TECH METALS LTD,Materials,$5M,0.0
854,HCL,HIGHCOM LIMITED,Capital Goods,$16M,8.333333333333341
855,HFR,HIGHFIELD RESOURCES LIMITED,Materials,$108M,2.1276595744680873
856,HGO,HILLGROVE RESOURCES LIMITED,Materials,$105M,1.3344026738283132e-14
857,HPG,HIPAGES GROUP HOLDINGS LTD,Media & Entertainment,$170M,-2.3166023166023018
858,HMI,HIREMII LIMITED,Commercial & Professional Services,$8M,1.3344026738283132e-14
859,HIT,HITECH GROUP AUSTRALIA LIMITED,Commercial & Professional Services,$85M,-2.5906735751295247
860,HIQ,HITIQ LIMITED,Health Care Equipment & Services,$17M,20.0
861,HMC,HMC CAPITAL LIMITED,Equity Real Estate Investment Trusts (REITs),$4B,5.717255717255725
862,HCT,HOLISTA COLLTECH LIMITED,Household & Personal Products,$3M,50.0
863,HDN,HOMECO DAILY NEEDS REIT,Equity Real Estate Investment Trusts (REITs),$2B,2.164502164502157
864,HRN,HORIZON GOLD LIMITED,Materials,$64M,18.75
865,HRZ,HORIZON MINERALS LIMITED,Materials,$56M,5.128205128205133
866,HZN,HORIZON OIL LIMITED,Energy,$293M,1.3888888888888902
867,HOR,HORSESHOE METALS LIMITED,Materials,$9M,0.0
868,HCH,HOT CHILI LIMITED,Materials,$101M,0.724637681159437
869,HPI,HOTEL PROPERTY INVESTMENTS,Equity Real Estate Investment Trusts (REITs),$743M,0.1322751322751412
870,HUB,HUB24 LIMITED,Financial Services,$6B,2.979274611398954
871,HFY,HUBIFY LIMITED,Telecommunication Services,$5M,1.927470528863119e-14
872,HGL,HUDSON INVESTMENT GROUP LIMITED,Real Estate Management & Development,$10M,0.0
873,HUM,HUMM GROUP LIMITED,Financial Services,$337M,0.7352941176470594
874,HTA,HUTCHISON TELECOMMUNICATIONS (AUSTRALIA) LIMITED,Telecommunication Services,$380M,3.703703703703707
875,HYD,HYDRIX LIMITED,Technology Hardware & Equipment,$3M,-9.090909090909085
876,HCD,HYDROCARBON DYNAMICS LIMITED,Energy,$2M,0.0
877,HYT,HYTERRA LTD,Energy,$60M,8.333333333333341
878,IS3,I SYNERGY GROUP LIMITED,Software & Services,$2M,0.0
879,ICI,ICANDY INTERACTIVE LIMITED,Media & Entertainment,$26M,-2.500000000000002
880,ICL,ICENI GOLD LIMITED,Materials,$20M,6.060606060606066
881,ICE,ICETANA LIMITED,Software & Services,$5M,1.927470528863119e-14
882,ICN,ICON ENERGY LIMITED,Energy,NaN,0.0
883,ID8,IDENTITII LIMITED,Software & Services,$10M,0.0
884,IEL,IDP EDUCATION LIMITED,Consumer Services,$3B,6.401384083044985
885,IDT,IDT AUSTRALIA LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$43M,4.99999999999999
886,IGN,IGNITE LIMITED,Commercial & Professional Services,$11M,0.7692307692307699
887,IGO,IGO LIMITED,Materials,$4B,-1.4285714285714344
888,IKE,IKEGPS GROUP LIMITED,Technology Hardware & Equipment,$84M,5.392156862745092
889,ILT,ILTANI RESOURCES LIMITED.,Materials,$10M,11.111111111111121
890,ILU,ILUKA RESOURCES LIMITED,Materials,$2B,2.8513238289205636
891,IMA,IMAGE RESOURCES NL,Materials,$102M,8.235294117647049
892,IBX,IMAGION BIOSYSTEMS LIMITED,Health Care Equipment & Services,$4M,15.789473684210524
893,IMD,IMDEX LIMITED,Materials,$1B,1.072961373390554
894,IME,IMEXHS LIMITED,Health Care Equipment & Services,$16M,-1.3698630136986314
895,IMC,IMMURON LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$18M,1.2820512820512833
896,IMM,IMMUTEP LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$488M,1.609018876268343e-14
897,IPT,IMPACT MINERALS LIMITED,Materials,$32M,0.0
898,IPD,IMPEDIMED LIMITED,Health Care Equipment & Services,$107M,3.9215686274509842
899,IPC,IMPERIAL PACIFIC LIMITED,Financial Services,$9M,0.0
900,IMR,IMRICOR MEDICAL SYSTEMS INC.,Health Care Equipment & Services,$296M,20.418848167539288
901,IMU,IMUGENE LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$268M,1.927470528863119e-14
902,ICG,INCA MINERALS LIMITED,Materials,$6M,-16.666666666666668
903,IPL,INCITEC PIVOT LIMITED,Materials,$6B,-0.9999999999999934
904,IAM,INCOME ASSET MANAGEMENT GROUP LIMITED.,Financial Services,$31M,-2.9411764705882377
905,IDA,INDIANA RESOURCES LIMITED,Materials,$39M,0.0
906,IND,INDUSTRIAL MINERALS LTD,Materials,$13M,14.285714285714278
907,I88,INFINI RESOURCES LIMITED,Materials,$37M,13.00000000000001
908,INF,INFINITY LITHIUM CORPORATION LIMITED,Materials,$12M,12.499999999999996
909,IMI,INFINITY MINING LIMITED,Materials,$5M,-15.384615384615387
910,IFG,INFOCUS GROUP HOLDINGS LIMITED,Software & Services,$3M,11.111111111111121
911,IFM,INFOMEDIA LTD,Software & Services,$551M,2.8880866425992804
912,IFT,INFRATIL LIMITED.,Capital Goods,$11B,5.1094890510948785
913,INA,INGENIA COMMUNITIES GROUP,Equity Real Estate Investment Trusts (REITs),$2B,1.5021459227467873
914,ING,INGHAMS GROUP LIMITED,"Food, Beverage & Tobacco",$1B,0.31948881789138117
915,IRX,INHALERX LIMITED,Health Care Equipment & Services,$7M,-17.94871794871795
916,IIQ,INOVIQ LTD,Health Care Equipment & Services,$60M,-6.666666666666672
917,IFL,INSIGNIA FINANCIAL LTD,Financial Services,$2B,-1.111111111111112
918,IAG,INSURANCE AUSTRALIA GROUP LIMITED,Insurance,$20B,1.0613207547169794
919,IDX,INTEGRAL DIAGNOSTICS LIMITED,Health Care Equipment & Services,$1B,0.3448275862069045
920,IRI,INTEGRATED RESEARCH LIMITED,Software & Services,$80M,-19.266055045871564
921,ICR,INTELICARE HOLDINGS LIMITED,Health Care Equipment & Services,$3M,0.0
922,IMB,INTELLIGENT MONITORING GROUP LIMITED,Commercial & Professional Services,$174M,6.185567010309284
923,IEQ,INTERNATIONAL EQUITIES CORPORATION LIMITED.,Real Estate Management & Development,$5M,0.0
924,IG6,INTERNATIONAL GRAPHITE LIMITED,Capital Goods,$9M,22.500000000000004
925,IVT,INVENTIS LIMITED,Commercial & Professional Services,$2M,0.0
926,IVR,INVESTIGATOR RESOURCES LTD,Materials,$30M,5.263157894736847
927,ICU,INVESTOR CENTRE LIMITED,Financial Services,$609K,0.0
928,INV,INVESTSMART GROUP LIMITED,Financial Services,$19M,0.0
929,IXC,INVEX THERAPEUTICS LTD,"Pharmaceuticals, Biotechnology & Life Sciences",$5M,-1.492537313432837
930,IVZ,INVICTUS ENERGY LTD,Energy,$102M,4.615384615384619
931,IVX,INVION LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$20M,1.9230769230769247
932,IOD,IODM LIMITED,Software & Services,$98M,3.1250000000000027
933,ION,IONDRIVE LIMITED,Materials,$23M,11.999999999999996
934,INR,IONEER LTD,Materials,$365M,12.49999999999999
935,IXR,IONIC RARE EARTHS LIMITED,Materials,$31M,8.333333333333341
936,IPB,IPB PETROLEUM LIMITED,Energy,$4M,0.0
937,IPG,IPD GROUP LTD,Capital Goods,$402M,1.3123359580052447
938,IPX,IPERIONX LIMITED,Materials,$2B,25.904977375565622
939,IPH,IPH LIMITED,Commercial & Professional Services,$1B,-1.7681728880157144
940,IRE,IRESS LIMITED,Software & Services,$2B,0.42417815482503635
941,IR1,IRIS METALS LIMITED,Materials,$41M,2.1739130434782625
942,IRD,IRON ROAD LIMITED,Materials,$49M,7.142857142857137
943,IBC,IRONBARK CAPITAL LIMITED,Not Applic,$49M,0.0
944,IBGDA,IRONBARK ZINC LTD,Materials,NaN,-23.99999999999999
945,ILA,ISLAND PHARMACEUTICALS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$33M,1.5860328923216522e-14
946,ITM,ITECH MINERALS LTD,Materials,$9M,0.0
947,IGL,IVE GROUP LIMITED,Media & Entertainment,$325M,0.4807692307692205
948,IXU,IXUP LIMITED,Software & Services,$20M,-16.666666666666668
949,JGH,JADE GAS HOLDINGS LIMITED,Materials,$57M,5.8823529411764754
950,JBY,JAMES BAY MINERALS LIMITED,Materials,$59M,-3.200000000000003
951,JHX,JAMES HARDIE INDUSTRIES PLC,Materials,$22B,-0.8230452674897153
952,JAL,JAMESON RESOURCES LIMITED,Materials,$27M,-11.111111111111107
953,JAN,JANISON EDUCATION GROUP LIMITED,Software & Services,$49M,-5.263157894736847
954,JAT,JATCORP LIMITED,Consumer Discretionary Distribution & Retail,$39M,28.37837837837839
955,JAV,JAVELIN MINERALS LIMITED,Materials,$21M,0.0
956,JAY,JAYRIDE GROUP LIMITED,Transportation,$716K,-40.0
957,JBH,JB HI-FI LIMITED,Consumer Discretionary Distribution & Retail,$10B,2.667091701200728
958,JCS,JCURVE SOLUTIONS LTD,Software & Services,$9M,-13.333333333333323
959,JRV,JERVOIS GLOBAL LIMITED,Materials,$30M,9.090909090909099
960,JLL,JINDALEE LITHIUM LIMITED,Materials,$15M,10.52631578947368
961,JLG,JOHNS LYNG GROUP LIMITED,Capital Goods,$1B,4.69613259668508
962,JYC,JOYCE CORPORATION LTD,Consumer Discretionary Distribution & Retail,$146M,1.0266940451745343
963,JDO,JUDO CAPITAL HOLDINGS LIMITED,Banks,$2B,1.092896174863389
964,JIN,JUMBO INTERACTIVE LIMITED,Consumer Services,$878M,3.2210834553440666
965,JNO,JUNO MINERALS LIMITED,Materials,$5M,-4.0000000000000036
966,JPR,JUPITER ENERGY LIMITED,Energy,$38M,7.142857142857137
967,JMS,JUPITER MINES LIMITED.,Materials,$275M,0.0
968,KSC,K & S CORPORATION LIMITED,Transportation,$490M,-2.4725274725274686
969,KTG,K-TIG LIMITED,Capital Goods,NaN,0.0
970,KAM,K2 ASSET MANAGEMENT HOLDINGS LTD,Financial Services,$18M,0.0
971,KDY,KADDY LIMITED,Consumer Discretionary Distribution & Retail,NaN,0.0
972,KLR,KAILI RESOURCES LIMITED,Energy,$1M,0.0
973,KAI,KAIROS MINERALS LIMITED,Materials,$34M,-3.8461538461538365
974,KAU,KAISER REEF LIMITED,Materials,$41M,0.0
975,KZR,KALAMAZOO RESOURCES LIMITED,Materials,$17M,-3.750000000000003
976,KAL,KALGOORLIE GOLD MINING LIMITED,Materials,$5M,5.555555555555561
977,KM1,KALI METALS LIMITED,Materials,$15M,0.0
978,KPO,KALINA POWER LIMITED,Utilities,$25M,-5.000000000000004
979,KLL,KALIUM LAKES LIMITED,Materials,NaN,0.0
980,KAR,KAROON ENERGY LTD,Energy,$999M,5.284552845528451
981,KAT,KATANA CAPITAL LIMITED,Not Applic,$39M,0.0
982,KPG,KELLY PARTNERS GROUP HOLDINGS LIMITED,Commercial & Professional Services,$445M,9.509202453987745
983,KLS,KELSIAN GROUP LIMITED,Transportation,$1B,2.8169014084507067
984,KEY,KEY PETROLEUM LIMITED,Energy,$2M,0.0
985,KBC,KEYBRIDGE CAPITAL LIMITED,Financial Services,NaN,0.0
986,KGL,KGL RESOURCES LIMITED,Materials,$58M,-1.111111111111112
987,KLI,KILLI RESOURCES LIMITED,Class Pend,$7M,0.0
988,KSL,KINA SECURITIES LIMITED,Banks,$327M,3.181818181818174
989,KYP,KINATICO LTD,Software & Services,$63M,3.5714285714285543
990,KCC,KINCORA COPPER LIMITED,Materials,$8M,3.84615384615385
991,KKO,KINETIKO ENERGY LTD,Energy,$97M,-6.849315068493138
992,KRR,KING RIVER RESOURCES LIMITED,Materials,$20M,1.3344026738283132e-14
993,KFM,KINGFISHER MINING LTD,Materials,$2M,0.0
994,KCN,KINGSGATE CONSOLIDATED LIMITED.,Materials,$330M,-2.2556390977443628
995,KNG,KINGSLAND MINERALS LTD,Materials,$11M,3.5714285714285543
996,KRM,KINGSROSE MINING LIMITED,Materials,$25M,-8.333333333333323
997,KSN,KINGSTON RESOURCES LIMITED,Materials,$58M,0.0
998,KME,KIP MCGRATH EDUCATION CENTRES LIMITED,Consumer Services,$27M,-1.0526315789473695
